label,kind,requested_label_radius,measured_time_norm,measured_euclidean_norm,dt_s,success,future_dT_K,future_max_dY,increment_dT_K,increment_max_dY,scaled_future,scaled_increment,gain_future,gain_increment,gain_T,gain_Y,gain_denominator_status
transverse_r0_s+0,transverse_ray,0.0,0.0,0.0,1e-07,True,3.637978807091713e-12,3.3306690738754696e-16,9.094947017729282e-13,6.938893903907228e-16,5.721788305998049e-14,8.6501607808691e-14,,,,,unresolved
transverse_r0_s+0,transverse_ray,0.0,0.0,0.0,1e-06,True,5.002220859751105e-12,4.163336342344337e-16,2.2737367544323206e-12,8.326672684688674e-16,7.628044147777734e-14,1.0789641086448388e-13,,,,,unresolved
transverse_r0_s+0,transverse_ray,0.0,0.0,0.0,1e-05,True,1.3642420526593924e-12,5.551115123125783e-16,1.3642420526593924e-12,9.71445146547012e-16,7.179991570721591e-14,1.1937545257517656e-13,,,,,unresolved
transverse_r0_s+0,transverse_ray,0.0,0.0,0.0,0.0001,True,4.547473508864641e-13,3.885780586188048e-16,2.2737367544323206e-12,8.049116928532385e-16,5.4606281514409205e-14,1.0463304125462558e-13,,,,,unresolved
transverse_r0.03_s+1,transverse_ray,0.03,0.01732050807568877,0.03,1e-07,True,0.003047958681236196,6.4919539244368e-08,0.0006648899393439933,3.536751537747129e-07,3.171990318224981e-05,4.7586867160578066e-05,0.6815502912956949,1.022476108731967,1.2790057742170113,0.16239299176067842,resolved
transverse_r0.03_s+1,transverse_ray,0.03,0.01732050807568877,0.03,1e-06,True,0.0031743154936521023,2.0313086507295353e-07,0.0007912467517598998,4.918864796032985e-07,3.931515808876714e-05,6.20020627332957e-05,0.8447458774946685,1.332208477245876,1.3320285050323957,0.5081217347209279,resolved
transverse_r0.03_s+1,transverse_ray,0.03,0.01732050807568877,0.03,1e-05,True,0.002732793143422896,1.972274407679997e-07,0.0003497244015306933,4.859830552983446e-07,3.556931334331783e-05,5.9188314449526174e-05,0.7642607145122653,1.271750822270781,1.1467538033556706,0.4933546130550525,resolved
transverse_r0.03_s+1,transverse_ray,0.03,0.01732050807568877,0.03,0.0001,True,0.0006912106446179678,5.034173333751113e-08,0.0016918580972742348,3.3909734786785606e-07,9.030406437941208e-06,4.764783322884536e-05,0.19403199634422133,1.023786057294798,0.290050652953105,0.12592733685807758,resolved
transverse_r0.03_s-1,transverse_ray,0.03,0.01732050807568877,0.03,1e-07,True,0.003049341485620971,6.493318954747807e-08,0.0006664231450486113,3.54437152821907e-07,3.172660231132965e-05,4.769448143185199e-05,0.6800669769609826,1.0223421180369674,1.2796667991940258,0.16189869286191594,resolved
transverse_r0.03_s-1,transverse_ray,0.03,0.01732050807568877,0.03,1e-06,True,0.003176294687364134,2.0332066741346466e-07,0.0007933763467917743,4.928246306878936e-07,3.934273606577837e-05,6.21409837885192e-05,0.8433205459278943,1.3320062002147803,1.3329431534784406,0.5069418353765551,resolved
transverse_r0.03_s-1,transverse_ray,0.03,0.01732050807568877,0.03,1e-05,True,0.002734578460604098,1.9735553874467016e-07,0.0003516601200317382,4.868595020190991e-07,3.5592495250753934e-05,5.9316009651865766e-05,0.7629332763135053,1.2714522334756189,1.1475753969593738,0.4920689092048809,resolved
transverse_r0.03_s-1,transverse_ray,0.03,0.01732050807568877,0.03,0.0001,True,0.0006916655356690171,5.037482159186979e-08,0.0016912528049033426,3.3987878486629874e-07,9.03634627585971e-06,4.776613129463913e-05,0.1936961491902975,1.0238779492333612,0.2902598565349428,0.12560014109445042,resolved
transverse_r0.1_s+1,transverse_ray,0.1,0.05773502691896258,0.1,1e-07,True,0.010154121206142008,2.1630792762517004e-07,0.002210662835295807,1.1760999442389508e-06,0.00010570046939665452,0.00015822641208039807,0.6831307483031277,1.0226002580951876,1.278299794886482,0.1629031648049099,resolved
transverse_r0.1_s+1,transverse_ray,0.1,0.05773502691896258,0.1,1e-06,True,0.010573174276942154,6.76354357964648e-07,0.002629715906095953,1.6361463745784288e-06,0.00013094079544194388,0.0002061626509309928,0.8462562568004361,1.3324070063884048,1.3310542818160214,0.5093676715952841,resolved
transverse_r0.1_s+1,transverse_ray,0.1,0.05773502691896258,0.1,1e-05,True,0.009102272446398274,6.56907795965056e-07,0.0011588140755520726,1.6166998125788368e-06,0.00011847210619313278,0.00019682520132692166,0.7656724612362408,1.2720600753701992,1.1458828159539567,0.49472231611021855,resolved
transverse_r0.1_s+1,transverse_ray,0.1,0.05773502691896258,0.1,0.0001,True,0.0023022958130241022,1.6767849161936077e-07,0.005641162557822099,1.1274705082331415e-06,3.007858325115235e-05,0.0001583947230642139,0.19439464367135512,1.0236880338541605,0.2898354476777906,0.1262799623407282,resolved
transverse_r0.1_s-1,transverse_ray,0.1,0.05773502691896258,0.1,1e-07,True,0.010169011501602654,2.1644815148547103e-07,0.0022276261911429174,1.1845267832433226e-06,0.00010576989187880503,0.00015941689414072303,0.67817679535644,1.0221513558689461,1.280508513824266,0.16125200725285158,resolved
transverse_r0.1_s-1,transverse_ray,0.1,0.05773502691896258,0.1,1e-06,True,0.010594684897569095,6.784336940846014e-07,0.002653299587109359,1.646512325842453e-06,0.00013124132489426206,0.00020769944814058423,0.8414948673400268,1.3317300758771835,1.334110420711441,0.5054272545563984,resolved
transverse_r0.1_s-1,transverse_ray,0.1,0.05773502691896258,0.1,1e-05,True,0.009121698176386417,6.583012909511243e-07,0.0011803128659266804,1.626379922708976e-06,0.00011872432398988968,0.0001982375674115647,0.7612381949542062,1.2710622635454478,1.1486280818501615,0.4904287877466012,resolved
transverse_r0.1_s-1,transverse_ray,0.1,0.05773502691896258,0.1,0.0001,True,0.002307247121279943,1.6803855693026115e-07,0.005634138189179794,1.1361171886881127e-06,3.014322969000013e-05,0.00015970439389071674,0.1932727598538256,1.023994750578472,0.29053458950556493,0.12518727655983714,resolved
transverse_r0.3_s+1,transverse_ray,0.3,0.17320508075688773,0.3,1e-07,True,0.03041950521992476,6.477882497635257e-07,0.0065914207984860695,3.5078295095580803e-06,0.0003168430379020424,0.0004718143890562083,0.6868411139808726,1.0227825194371487,1.2766240324612754,0.1639974085289196,resolved
transverse_r0.3_s+1,transverse_ray,0.3,0.17320508075688773,0.3,1e-06,True,0.031661779080423,2.0232607320369578e-06,0.007833694658984314,4.883301991831512e-06,0.00039199691618446426,0.0006148149248098257,0.8497570291332844,1.3327740153122838,1.328758893095752,0.5122191039332877,resolved
transverse_r0.3_s+1,transverse_ray,0.3,0.17320508075688773,0.3,1e-05,True,0.027255909469204198,1.9667648640531166e-06,0.0034278250477655092,4.826806123847671e-06,0.00035473282699617387,0.0005871178444203501,0.7689772566028843,1.272733265562224,1.1438565092828619,0.49791631911845946,resolved
transverse_r0.3_s+1,transverse_ray,0.3,0.17320508075688773,0.3,0.0001,True,0.00689528388556937,5.021719087228149e-07,0.01693280053586932,3.3622131685173695e-06,9.008278159404966e-05,0.00047212596575449135,0.19527826292235498,1.023457944366654,0.28937634111139543,0.12713242590711757,resolved
transverse_r0.3_s-1,transverse_ray,0.3,0.17320508075688773,0.3,1e-07,True,0.030516123104462167,6.481472971942015e-07,0.006738370726452558,3.580520506474283e-06,0.0003170730424124372,0.0004821145910556552,0.6717296975638909,1.021375661509883,1.2833897257961357,0.15895265742528303,resolved
transverse_r0.3_s-1,transverse_ray,0.3,0.17320508075688773,0.3,1e-06,True,0.03181747868393359,2.0396398871247445e-06,0.008039726305923978,4.972013096404826e-06,0.0003942368197215678,0.0006281103189622691,0.8352037046897537,1.3306724260855494,1.3381196918073452,0.5002044776743735,resolved
transverse_r0.3_s-1,transverse_ray,0.3,0.17320508075688773,0.3,1e-05,True,0.027398317931329075,1.9769487777654415e-06,0.003620565553319466,4.909321987045523e-06,0.0003565794903319729,0.0005993172309792034,0.7554254104220471,1.269673319584288,1.1522669382606523,0.48483001191213404,resolved
transverse_r0.3_s-1,transverse_ray,0.3,0.17320508075688773,0.3,0.0001,True,0.006931723047273408,5.048197256607434e-07,0.0168460293307362,3.4371929349408248e-06,9.055839277115888e-05,0.00048353740066764736,0.1918509417426794,1.0243899305977964,0.2915213741431708,0.12380277949448089,resolved
