label,kind,requested_label_radius,measured_time_norm,gamma_best,t_best,dist_scaled,abs_dT_K,max_abs_dY,resolved,R_over_lin,wall_seconds
transverse_r0_s+0,transverse_ray,0.0,0.0,9999.999999982263,1.000000000002163e-06,7.6130938704349e-14,2.7284841053187847e-12,4.40619762898109e-16,False,,2.9004553090780973
transverse_r0.03_s+1,transverse_ray,0.03,0.01732050807568877,9928.244310209564,1.00716928346679e-06,4.6540810835759624e-05,0.0023830687418922025,2.8875561453034493e-07,True,0.10481425639361365,3.138614496216178
transverse_r0.03_s-1,transverse_ray,0.03,0.01732050807568877,10076.831616333115,9.927306590472778e-07,4.6652173074343966e-05,0.0023829183405723597,2.8950396327442895e-07,True,0.10543234523531375,3.4322620248422027
transverse_r0.1_s+1,transverse_ray,0.1,0.05773502691896258,9779.942467994335,1.0234857088573183e-06,0.00015472948576712535,0.007943458370846201,9.597920166137808e-07,True,0.34710907589789813,4.774963760748506
transverse_r0.1_s-1,transverse_ray,0.1,0.05773502691896258,10276.501291470906,9.754040478691837e-07,0.00015596212168128502,0.007941385310459737,9.680786317578516e-07,True,0.35397911704024365,3.42752908077091
transverse_r0.3_s+1,transverse_ray,0.3,0.17320508075688773,9494.116569419151,1.0665711768439893e-06,0.0004613047056336612,0.02382808442143869,2.8600412597945546e-06,True,1.0241385198328354,5.69128630310297
transverse_r0.3_s-1,transverse_ray,0.3,0.17320508075688773,11017.408794686702,9.235543192913364e-07,0.0004720247497800692,0.02377775237800961,2.9323732092800814e-06,True,1.0861569888806593,4.284950481727719
transverse_r0.6_s+1,transverse_ray,0.6,0.34641016151377546,9407.91403479425,1.1200518471289178e-06,0.000918388834891812,0.047732754997014126,5.690994499568669e-06,True,2.0088529304967864,3.802035240456462
transverse_r0.6_s-1,transverse_ray,0.6,0.34641016151377546,12686.133710432967,8.41959783332986e-07,0.000956224902411812,0.047105267673487106,5.949841747732165e-06,True,2.2594786567830334,4.422709645703435
transverse_r1_s+1,transverse_ray,1.0,0.5773502691896258,9855.109464274377,1.1692633225291179e-06,0.0015394540981965848,0.08034245020053277,9.536376850388661e-06,True,3.2961024914937154,5.403688680380583
transverse_r1_s-1,transverse_ray,1.0,0.5773502691896258,16281.812098196524,7.339782009940357e-07,0.0016114169628085565,0.07583032828370051,1.0052630276757846e-05,True,4.009303028347753,5.0796702997758985
infamily_r0.03,in_family_control,0.03,0.03000000000000008,10304.545339523402,1.000000000001385e-06,8.066512470098437e-14,0.0,4.996003610813204e-16,False,,3.0124383764341474
infamily_r0.1,in_family_control,0.1,0.10000000000000007,11051.70918073636,1.000000000002173e-06,7.723993184870331e-14,4.547473508864641e-13,5.551115123125783e-16,False,,3.05522664450109
infamily_r0.3,in_family_control,0.3,0.30000000000000004,13498.588075739863,1.000000000001859e-06,1.1244780639745366e-13,4.092726157978177e-12,6.661338147750939e-16,False,,1.9693517768755555
heldout_0,held_out,0.1,0.10000000000000003,10247.902838520142,1.0114486909937145e-06,0.000143073710955453,0.007326797238420113,8.874084279908434e-07,True,0.16235489711831497,4.139491837471724
heldout_1,held_out,0.3,0.3,9080.245210844258,9.096182931217915e-07,3.5026200302254065e-05,0.0017645559642005537,2.180242023586132e-07,True,0.17475014559609606,4.537993490695953
heldout_2,held_out,0.6,0.6,14597.085645526393,6.85096044722401e-07,0.0010936095252990009,0.0500589878424762,6.8328859985367085e-06,True,1.3131204643383516,6.0092848697677255
heldout_3,held_out,0.1,0.09999999999999996,10016.456737135404,1.0374877394273473e-06,0.0002591998785621586,0.013329599973531003,1.6075807445781187e-06,True,0.1759641514976377,4.620968150906265
heldout_4,held_out,0.3,0.3,7683.239797060354,1.1609211514088862e-06,0.0003478237402542358,0.018194580094132107,2.1551166759781193e-06,True,0.2527598375868944,3.665952102281153
heldout_5,held_out,0.6,0.6000000000000001,17544.740727723663,8.881112939975061e-07,0.0016480259226574537,0.08182139761538565,1.0244265530506835e-05,True,0.6969412761725909,3.9110760977491736
heldout_6,held_out,0.1,0.09999999999999998,9598.664307732352,9.648549267806233e-07,0.00013237055410724526,0.006732737188031024,8.218245100832799e-07,True,0.05998877112325709,3.636778950691223
heldout_7,held_out,0.3,0.29999999999999993,8264.576286458061,1.164080961316255e-06,0.0002185999936034197,0.011432993590005935,1.3550834214726137e-06,True,0.42103375731822074,4.6700999438762665
heldout_8,held_out,0.6,0.5999999999999999,6628.245225954149,8.797614379273225e-07,0.00026429981802629873,0.013234357105829986,1.6433486325628799e-06,True,0.25116985868826097,3.9837243761867285
heldout_9,held_out,0.1,0.10000000000000003,10077.022170752463,9.524829602860263e-07,0.00021960118653682674,0.011137926893297845,1.363620972194557e-06,True,0.12236741665431836,3.843669729307294
heldout_10,held_out,0.3,0.3,7619.506909646377,1.093456494272933e-06,0.0004723426596721221,0.024532088447358547,2.9273214150749016e-06,True,0.19350823332881115,5.0708267390728
heldout_11,held_out,0.6,0.6,9622.675628410361,9.047340890056626e-07,0.0005543730782956895,0.027842234813306277,3.4440221928500048e-06,True,0.5345886081968159,4.072005952708423
