case,measured_time_norm,reference_used,dt_s,future_dT_K,future_max_abs_dY,increment_dT_K,increment_max_abs_dY,E_max_T1_Y1e-3,E_max_T1_Y1e-4,E_max_T10_Y1e-3,enthalpy_mismatch_J_kg,elemental_mismatch_max
test_0,0.10000000000000003,predicted_canonical,1e-07,-0.008838605609980732,1.8926667838536915e-07,-0.0020251424234629667,1.0727496830842398e-06,0.008838605609980732,0.008838605609980732,0.0008838605609980732,1.6298145055770874e-09,2.220446049250313e-16
test_0,0.10000000000000003,predicted_canonical,1e-06,-0.009249720389107097,5.982585181973921e-07,-0.0024362572025893314,1.4817415228962627e-06,0.009249720389107097,0.009249720389107097,0.0009249720389107096,1.862645149230957e-09,2.220446049250313e-16
test_0,0.10000000000000003,predicted_canonical,1e-05,-0.007973850286361994,5.751142673759979e-07,-0.001160387099844229,1.4585972720748686e-06,0.007973850286361994,0.007973850286361994,0.0007973850286361994,2.3283064365386963e-10,2.220446049250313e-16
test_0,0.10000000000000003,predicted_canonical,0.0001,-0.0020184728887215897,1.4698417266645336e-07,0.004794990297796176,1.030467177365324e-06,0.0020184728887215897,0.0020184728887215897,0.00020184728887215898,2.3748725652694702e-08,2.220446049250313e-16
test_0,0.10000000000000003,predicted_corrected,1e-07,0.0005248573429526004,2.7310453558360148e-08,6.772032611479517e-05,3.825047226180267e-08,0.0005248573429526004,0.0005248573429526004,5.2485734295260043e-05,1.6298145055770874e-09,2.220446049250313e-16
test_0,0.10000000000000003,predicted_corrected,1e-06,0.0005241361786829657,2.9395391176745278e-08,6.699916184516042e-05,5.9012324638008096e-08,0.0005241361786829657,0.0005241361786829657,5.2413617868296567e-05,1.862645149230957e-09,2.220446049250313e-16
test_0,0.10000000000000003,predicted_corrected,1e-05,0.00044552832696354017,3.213276733582404e-08,-1.160868987426511e-05,6.174970079708686e-08,0.00044552832696354017,0.00044552832696354017,4.455283269635402e-05,3.4924596548080444e-09,2.220446049250313e-16
test_0,0.10000000000000003,predicted_corrected,0.0001,0.00011277958901700913,8.212581364963611e-09,-0.00034435742782079615,3.782951482622643e-08,0.00011277958901700913,0.00011277958901700913,1.1277958901700912e-05,3.14321368932724e-08,2.220446049250313e-16
test_0,0.10000000000000003,oracle_canonical,1e-07,-0.009282668480409484,1.9698503067600015e-07,-0.0020299486131989397,1.079186426777845e-06,0.009282668480409484,0.009282668480409484,0.0009282668480409484,1.6298145055770874e-09,1.1102230246251565e-16
test_0,0.10000000000000003,oracle_canonical,1e-06,-0.009670382959939161,6.184312013879367e-07,-0.002417663092728617,1.5006325974897816e-06,0.009670382959939161,0.009670382959939161,0.0009670382959939162,3.026798367500305e-09,1.1102230246251565e-16
test_0,0.10000000000000003,oracle_canonical,1e-05,-0.00832663143546597,6.005573301715028e-07,-0.0010739115682554257,1.4827587262733477e-06,0.00832663143546597,0.00832663143546597,0.000832663143546597,9.313225746154785e-10,1.1102230246251565e-16
test_0,0.10000000000000003,oracle_canonical,0.0001,-0.0021077736732877383,1.5348701723483238e-07,0.005144946193922806,1.0356884133366773e-06,0.0021077736732877383,0.0021077736732877383,0.00021077736732877383,2.584420144557953e-08,1.1102230246251565e-16
test_1,0.09999999999999994,predicted_canonical,1e-07,-0.015966408665917697,3.3000777127645264e-07,-0.0035284107198094716,1.876406788725582e-06,0.015966408665917697,0.015966408665917697,0.0015966408665917698,1.6298145055770874e-09,3.3306690738754696e-16
test_1,0.09999999999999994,predicted_canonical,1e-06,-0.016640831333461392,1.0633174195029405e-06,-0.0042028333873531665,2.6097164369520698e-06,0.016640831333461392,0.016640831333461392,0.0016640831333461393,3.725290298461914e-09,3.3306690738754696e-16
test_1,0.09999999999999994,predicted_canonical,1e-05,-0.01432520590697095,1.0336352957163175e-06,-0.0018872079608627246,2.580034313165447e-06,0.01432520590697095,0.01432520590697095,0.001432520590697095,6.51925802230835e-09,3.3306690738754696e-16
test_1,0.09999999999999994,predicted_canonical,0.0001,-0.003624302919888578,2.6394797703055417e-07,0.008813695026219648,1.8103469944796835e-06,0.003624302919888578,0.003624302919888578,0.0003624302919888578,2.491287887096405e-08,3.3306690738754696e-16
test_1,0.09999999999999994,predicted_corrected,1e-07,-0.0017335313982584921,4.2232050061902227e-08,-0.00034660808660191833,1.869378501162533e-07,0.0017335313982584921,0.0017335313982584921,0.0001733531398258492,1.6298145055770874e-09,3.3306690738754696e-16
test_1,0.09999999999999994,predicted_corrected,1e-06,-0.0017847771878223284,1.0849448481287105e-07,-0.00039785387616575463,2.6700557609338205e-07,0.0017847771878223284,0.0017847771878223284,0.00017847771878223284,3.725290298461914e-09,3.3306690738754696e-16
test_1,0.09999999999999994,predicted_corrected,1e-05,-0.0015286375169125677,1.1029704716225552e-07,-0.00014171420525599387,2.688081384427665e-07,0.0015286375169125677,0.0015286375169125677,0.00015286375169125676,6.51925802230835e-09,3.3306690738754696e-16
test_1,0.09999999999999994,predicted_corrected,0.0001,-0.00038675067935400875,2.8165909826682878e-08,0.001000172632302565,1.8667700110719387e-07,0.00038675067935400875,0.00038675067935400875,3.8675067935400874e-05,3.096647560596466e-08,3.3306690738754696e-16
test_1,0.09999999999999994,oracle_canonical,1e-07,-0.016199466241232585,3.4468762799555464e-07,-0.0035293417513457825,1.8773254837345377e-06,0.016199466241232585,0.016199466241232585,0.0016199466241232584,2.7939677238464355e-09,1.6653345369377348e-16
test_1,0.09999999999999994,oracle_canonical,1e-06,-0.016869508361651242,1.0788931820715497e-06,-0.004199383871764439,2.6115310378105328e-06,0.016869508361651242,0.016869508361651242,0.0016869508361651241,3.725290298461914e-09,1.6653345369377348e-16
test_1,0.09999999999999994,oracle_canonical,1e-05,-0.014523413358801918,1.0479372460903136e-06,-0.001853288868915115,2.5805751018292966e-06,0.014523413358801918,0.014523413358801918,0.0014523413358801917,6.51925802230835e-09,1.6653345369377348e-16
test_1,0.09999999999999994,oracle_canonical,0.0001,-0.003674449405480118,2.676000140366952e-07,0.008995675084406685,1.8002378697756782e-06,0.003674449405480118,0.003674449405480118,0.0003674449405480118,2.514570951461792e-08,1.6653345369377348e-16
test_2,0.10000000000000005,predicted_canonical,1e-07,-0.013286329426591692,2.4152506922225925e-07,-0.002848591740530537,1.5238584955834522e-06,0.013286329426591692,0.013286329426591692,0.0013286329426591692,9.313225746154785e-10,1.3877787807814457e-16
test_2,0.10000000000000005,predicted_canonical,1e-06,-0.013781718163045298,8.609594064623582e-07,-0.003343980476984143,2.143292832823551e-06,0.013781718163045298,0.013781718163045298,0.0013781718163045297,1.3969838619232178e-09,1.3877787807814457e-16
test_2,0.10000000000000005,predicted_canonical,1e-05,-0.0118357128981188,8.541496064606857e-07,-0.001397975212057645,2.1364830328218787e-06,0.0118357128981188,0.0118357128981188,0.00118357128981188,4.423782229423523e-09,1.3877787807814457e-16
test_2,0.10000000000000005,predicted_canonical,0.0001,-0.0029937953736407508,2.180394375328465e-07,0.007443942312420404,1.5003728638940395e-06,0.0029937953736407508,0.0029937953736407508,0.00029937953736407507,2.8405338525772095e-08,1.3877787807814457e-16
test_2,0.10000000000000005,predicted_corrected,1e-07,-0.00085252089502319,1.510361302380081e-07,-6.880006594656152e-05,4.765643921156304e-08,0.00085252089502319,0.001510361302380081,0.0001510361302380081,1.1641532182693481e-09,3.3306690738754696e-16
test_2,0.10000000000000005,predicted_corrected,1e-06,-0.0008038119185584947,5.354083917191721e-08,-2.009108948186622e-05,1.0994818134407724e-07,0.0008038119185584947,0.0008038119185584947,8.038119185584946e-05,1.1641532182693481e-09,3.3306690738754696e-16
test_2,0.10000000000000005,predicted_corrected,1e-05,-0.000656993678148865,4.740831044403038e-08,0.00012672715092776343,1.8568243154507003e-07,0.000656993678148865,0.000656993678148865,6.56993678148865e-05,4.423782229423523e-09,3.3306690738754696e-16
test_2,0.10000000000000005,predicted_corrected,0.0001,-0.00016618313202343415,1.2103147317699126e-08,0.0006175376970531943,1.6831501885652966e-07,0.00016618313202343415,0.00016618313202343415,1.6618313202343417e-05,2.8405338525772095e-08,3.3306690738754696e-16
test_2,0.10000000000000005,oracle_canonical,1e-07,-0.013108621170886181,2.792734556111842e-07,-0.0028423331186786527,1.512671024300749e-06,0.013108621170886181,0.013108621170886181,0.0013108621170886182,1.6298145055770874e-09,3.3306690738754696e-16
test_2,0.10000000000000005,oracle_canonical,1e-06,-0.013644683945130964,8.721896484764624e-07,-0.003378395892923436,2.1055872171660273e-06,0.013644683945130964,0.013644683945130964,0.0013644683945130964,9.313225746154785e-10,3.3306690738754696e-16
test_2,0.10000000000000005,oracle_canonical,1e-05,-0.011745817829250882,8.476660805500913e-07,-0.0014795297770433535,2.081063649239656e-06,0.011745817829250882,0.011745817829250882,0.001174581782925088,4.423782229423523e-09,3.3306690738754696e-16
test_2,0.10000000000000005,oracle_canonical,0.0001,-0.00297105854815527,2.1638350197750178e-07,0.0072952295040522586,1.4497810706670666e-06,0.00297105854815527,0.00297105854815527,0.000297105854815527,2.8405338525772095e-08,3.3306690738754696e-16
test_3,0.1000000000000001,predicted_canonical,1e-07,0.01454442618342,3.1522526272587115e-07,0.0031609358866262482,1.6808155510472655e-06,0.01454442618342,0.01454442618342,0.001454442618342,1.1641532182693481e-09,4.996003610813204e-16
test_3,0.1000000000000001,predicted_canonical,1e-06,0.015146927976729785,9.70681433759557e-07,0.0037634376799360325,2.3362717220809515e-06,0.015146927976729785,0.015146927976729785,0.0015146927976729784,3.259629011154175e-09,4.996003610813204e-16
test_3,0.1000000000000001,predicted_canonical,1e-05,0.013042522694377112,9.411833337691355e-07,0.0016590323975833599,2.30677362209053e-06,0.013042522694377112,0.013042522694377112,0.0013042522694377112,9.313225746154785e-10,4.996003610813204e-16
test_3,0.1000000000000001,predicted_canonical,0.0001,0.00329933632428947,2.4028802894648926e-07,-0.008084153972504282,1.6058783172678837e-06,0.00329933632428947,0.00329933632428947,0.000329933632428947,2.7008354663848877e-08,4.996003610813204e-16
test_3,0.1000000000000001,predicted_corrected,1e-07,0.0145444258059797,3.1522526441896126e-07,0.003160935891628469,1.6808155527403557e-06,0.0145444258059797,0.0145444258059797,0.00145444258059797,2.0954757928848267e-09,4.996003610813204e-16
test_3,0.1000000000000001,predicted_corrected,1e-06,0.015146927602927462,9.706814360355143e-07,0.003763437688576232,2.3362717243569087e-06,0.015146927602927462,0.015146927602927462,0.0015146927602927463,2.0954757928848267e-09,4.996003610813204e-16
test_3,0.1000000000000001,predicted_corrected,1e-05,0.01304252235149761,9.411833376826717e-07,0.0016590324371463794,2.306773626004066e-06,0.01304252235149761,0.01304252235149761,0.0013042522351497609,2.3283064365386963e-09,4.996003610813204e-16
test_3,0.1000000000000001,predicted_corrected,0.0001,0.00329933612692912,2.402880436014332e-07,-0.00808415378742211,1.6058783319228276e-06,0.00329933612692912,0.00329933612692912,0.000329933612692912,2.7008354663848877e-08,4.996003610813204e-16
test_3,0.1000000000000001,oracle_canonical,1e-07,0.014453486468482879,3.075961096665747e-07,0.0031608042486368504,1.6808717492600156e-06,0.014453486468482879,0.014453486468482879,0.001445348646848288,1.6298145055770874e-09,6.661338147750939e-16
